,Filename,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,Largest Included Sphere,Largest Free Sphere,Included Sphere Along Free Sphere Path
0,abadug_P1,810.098,1799.6,1719.75,7.08511,3.79861,6.69659
4,abedaq_P1,1566.87,1907.0,1895.1,6.4681,3.72904,6.41562
5,abexiq_P1,246.349,946.551,491.58,4.27025,3.44659,4.26841
6,abexow_P1,238.312,926.298,474.546,4.2247,3.37759,4.2247
7,abexuc_P1,244.594,960.327,482.801,4.2028,3.33086,4.17672
8,abeyaj_P1,231.128,920.174,449.014,4.13221,3.42433,4.12682
9,abeyen_P1,231.5,928.593,447.884,4.1103,3.35201,4.1103
10,abeyir_P1,213.819,862.997,408.131,4.09129,3.34244,4.09129
12,acajof_P1,419.475,1314.4,1078.52,6.86398,6.10482,6.86398
15,aciboe_P1_H,1174.53,1553.94,1208.68,8.26184,7.04151,8.26184
16,acicoh_P1,112.28,1395.58,1116.16,5.23439,3.67775,5.17003
18,acoded_P1,964.406,1740.86,1538.58,6.06805,3.77883,6.00167
19,acodon_P1_charged_H,698.241,2052.06,1761.65,7.12973,4.65534,7.12973
20,acolip_P1,554.643,1815.12,1729.51,4.90433,3.57572,4.66734
21,acufek_P1_H,17233.2,2266.37,3874.53,13.15752,7.60164,13.15752
23,acurey_P1,999.44,833.291,666.762,4.84425,3.67908,4.84209
24,acuruo_P1,1018.04,1790.87,1617.61,6.84866,4.2529,6.83875
25,acutoi_P1_H,282.54,841.596,471.945,5.18258,4.37811,5.18258
26,acuyab_P1,959.892,1761.72,1544.09,10.0214,8.7083,9.99216
27,adegey_P1_charged,1592.61,2422.46,2373.23,6.80312,4.92448,6.80024
28,adilor_P1,319.977,528.447,241.12,5.73567,4.77717,5.72258
30,adoguz_P1_H,446.931,1749.2,1325.21,5.0223,3.66126,4.69464
31,adoken_P1,209.708,648.217,434.671,4.02771,3.12158,4.0233
33,adosul_P1_H,665.132,1885.98,1577.6,6.24586,3.41538,6.24396
34,adulix_P1,295.552,496.038,222.714,5.57792,4.73998,5.57792
35,aduroi_P1_H,52491.1,1413.97,3382.4,24.96723,13.8678,24.96718
38,afenux_P1,171.521,1182.2,751.742,4.34761,3.79366,4.3211
40,afitit_P1,1431.92,1676.77,1649.02,7.34375,5.37707,7.06422
42,afotof_P1,631.639,1994.39,1703.28,6.60057,5.0347,6.59902
43,afotul_P1,645.624,2016.96,1746.0,6.68393,5.07216,6.1212
44,afovat_P1,613.767,1926.43,1694.72,6.397,4.99848,6.31381
45,afovex_P1,651.727,2003.93,1795.55,6.68924,5.0823,6.68924
46,afovib_P1,621.834,1980.32,1661.11,6.59796,4.92425,6.53518
47,afowok_P1,744.746,1064.12,667.766,7.60617,5.6601,7.60617
48,afuket_P1,6894.62,1853.13,1880.51,5.97459,4.78462,5.77234
49,agaruw_P1,308.103,1272.38,680.134,6.5236,6.24303,6.5236
52,agofej_P1_charged_H,5100.15,2083.38,3368.71,12.30105,8.07675,12.21509
53,agovid_P1_charged,6102.93,2242.98,3492.6,12.48057,8.64841,12.48057
54,agowaw_P1_charged,4738.2,2215.39,2969.26,13.59793,8.32661,13.59793
55,agowea_P1_charged,2355.67,2169.55,1822.6,8.31511,4.54136,8.31511
61,ahebas_P1_H,647.12,1288.49,998.91,5.245,3.09493,5.245
62,aheqah_P1_H,1447.76,2461.28,3081.09,9.26829,6.21673,9.2669
63,ahinip_P1,231.607,760.674,605.428,5.07247,2.88337,4.21233
68,ahujev_P1,269.269,920.534,561.673,4.4155,3.499,4.40457
69,ahutih_P1,54.5965,511.881,236.89,3.5279,3.26762,3.52397
73,ajagoi_P1,204.935,1067.9,502.149,7.33436,7.04058,7.33436
